Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00138,8.263E-08,0.023473,0,0,0,15.156,0.094082,-2.6571E-07,-0.0015648,0.33465,4.4097E-09,0.38795,0,0,0,0,0,0,package://dog_asm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dog_asm/meshes/base_link.STL,,dog_asm.stp-1/DOGBODY.stp-1,CoordBody,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ShoulderLF,0.0016347,-1.6089E-09,0.00094061,0,0,0,0.71324,0.0010272,7.7865E-09,1.097E-06,0.00098524,-2.0217E-09,0.00080532,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderLF.STL,0.81961,0.70196,0.43137,1,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderLF.STL,,dog_asm.stp-1/DOGLEGASS_AF1_ASM.stp-1/DOGSHOULDER.stp-1,CoordShoulderLF,,JShoulderLF,revolute,0.29653,0.09,0.045,1.5708,-0.12984,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
LegUpLF,0.140258977450962,-1.46944706402863E-09,-0.0495880163411742,0,0,0,1.801530833824,0.00185606576459301,2.32136084009696E-10,0.000104100390409144,0.0253985974507501,2.08293284963829E-11,0.0245402960534833,0,0,0,0,0,0,package://dog_asm/meshes/LegUpLF.STL,0.803921568627451,0.584313725490196,0.192156862745098,1,0,0,0,0,0,0,package://dog_asm/meshes/LegUpLF.STL,,dog_asm.stp-1/DOGLEGASS_AF1_ASM.stp-1/DOGLEGUPPER.stp-1,CoordLegLFUp,,JLegUpLF,revolute,0.14,0,0,-1.5708,0.92098,-1.5708,ShoulderLF,0,0,1,0,0,0,0,,,,,,,,
LegDownLF,0.165077124462303,4.80402495561805E-10,-0.014832296749107,0,0,0,1.05169812231526,0.000495167274562749,5.33404730717239E-09,-3.70431431049736E-05,0.0169793372080291,-8.27078574898443E-12,0.0171192056980103,0,0,0,0,0,0,package://dog_asm/meshes/LegDownLF.STL,0.819607843137255,0.701960784313725,0.431372549019608,1,0,0,0,0,0,0,package://dog_asm/meshes/LegDownLF.STL,,dog_asm.stp-1/DOGLEGASS_AF1_ASM.stp-1/DOGLEGDOWN.stp-1,CoordLegLFDown,,JLegDownLF,revolute,0.33,0,-0.035,0,0,-2.4666,LegUpLF,0,0,1,0,0,0,0,,,,,,,,
WheelLF,5.55111512312578E-17,2.77555756156289E-17,0.0151686153135472,0,0,0,0.327510634723198,0.000510561153976038,-9.3173624197973E-21,4.76456032830544E-21,0.000510561153976039,2.71050543121376E-20,0.000977859052979028,0,0,0,0,0,0,package://dog_asm/meshes/WheelLF.STL,0.803921568627451,0.584313725490196,0.192156862745098,1,0,0,0,0,0,0,package://dog_asm/meshes/WheelLF.STL,,dog_asm.stp-1/DOGLEGASS_AF1_ASM.stp-1/DOGGEAR.stp-1,CoordWheelLF,,JWheelLF,revolute,0.33,0,0.008,0,0,0,LegDownLF,0,0,1,0,0,0,0,,,,,,,,
ShoulderRF,0.0016347,-3.852E-08,0.0009406,0,0,0,0.71324,0.0010271,3.8616E-10,1.0977E-06,0.00098521,-5.2553E-10,0.0008053,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderRF.STL,0.81961,0.70196,0.43137,1,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderRF.STL,,dog_asm.stp-1/DOGLEGASS_AF0_ASM.stp-1/DOGSHOULDER.stp-1,CoordShoulderRF,,JShoulderRF,revolute,0.29653,-0.09,0.045,-1.5708,0.0031802,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
LegUpRF,0.14026,-1.4694E-09,-0.029588,0,0,0,1.8015,0.0018561,2.3214E-10,0.0001041,0.025399,2.0829E-11,0.02454,0,0,0,0,0,0,package://dog_asm/meshes/LegUpRF.STL,0.80392,0.58431,0.19216,1,0,0,0,0,0,0,package://dog_asm/meshes/LegUpRF.STL,,dog_asm.stp-1/DOGLEGASS_AF0_ASM.stp-1/DOGLEGUPPER.stp-1,CoordLegRFUp,,JLegUpRF,revolute,0.12,0,0,1.5708,0.69315,1.5708,ShoulderRF,0,0,1,0,0,0,0,,,,,,,,
LegDownRF,0.16508,7.3076E-10,-0.014832,0,0,0,1.0517,0.00049517,5.3451E-09,-3.7043E-05,0.016979,-1.2448E-11,0.017119,0,0,0,0,0,0,package://dog_asm/meshes/LegDownRF.STL,0.81961,0.70196,0.43137,1,0,0,0,0,0,0,package://dog_asm/meshes/LegDownRF.STL,,dog_asm.stp-1/DOGLEGASS_AF0_ASM.stp-1/DOGLEGDOWN.stp-1,CoordLegRFDown,,JLegDownRF,revolute,0.33,0,-0.015,0,0,1.9242,LegUpRF,0,0,1,0,0,0,0,,,,,,,,
WheelRF,-5.5511E-17,5.5511E-17,0.015169,0,0,0,0.32751,0.00051056,2.7105E-19,-1.5088E-20,0.00051056,-1.3129E-20,0.00097786,0,0,0,0,0,0,package://dog_asm/meshes/WheelRF.STL,0.80392,0.58431,0.19216,1,0,0,0,0,0,0,package://dog_asm/meshes/WheelRF.STL,,dog_asm.stp-1/DOGLEGASS_AF0_ASM.stp-1/DOGGEAR.stp-1,CoordWheelRF,,JWheelRF,revolute,0.33,0,0.008,0,0,0,LegDownRF,0,0,1,0,0,0,0,,,,,,,,
ShoulderLB,0.0016347,-4.3819E-08,0.0009406,0,0,0,0.71324,0.0010271,3.8364E-10,1.0977E-06,0.00098521,-5.1975E-10,0.0008053,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderLB.STL,0.81961,0.70196,0.43137,1,0,0,0,0,0,0,package://dog_asm/meshes/ShoulderLB.STL,,dog_asm.stp-1/DOGLEGASS_AF2_ASM.stp-1/DOGSHOULDER.stp-1,CoordShoulderLB,,JShoulderLB,revolute,-0.29653,0.09,0.045,-1.5708,-0.012948,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
